Country,Latitude,Diabetes,Obesity,Smoking,COPD_ave,CVD_ave,HIV_ave,HTN_ave,Pop_Density,Confirmed,Deaths/100k,C19/100k
ALB,41.15,9,21.7,29.2,1.8,7.8,0.0,31.6,63.493862,132437,85,4602
ARM,40.07,6.1,20.2,26.7,2.7,8.2,0.0,27.4,64.060448,223555,151,7544.3
AUT,47.52,6.6,20.1,29.1,3.5,6.9,0.2,27.5,60.95504,648187,118,7197
BIH,43.92,9,17.9,38.3,2.5,7.9,0.0,36.8,40.539822,204597,289,6236.2
BEL,50.83,4.6,22.1,25,4.4,6.2,0.2,23.6,206.44856,1074988,216,9275.4
BGR,42.73,6,25,38.9,2.9,8.0,0.0,36.4,39.22279,420213,258,6047.6
BLR,53.71,5,24.5,26.6,2.1,7.8,0.2,32.1,22.723469,403845,31,4273.8
CHE,46.82,5.7,19.5,25.1,2.8,5.5,0.2,23.5,127.09396,700051,125,8088.8
CHN,35.86,9.2,6.2,24.7,2.5,6.6,0.0,20.5,105.88853,103320,0,7.4
CZE,49.82,7,26,31.5,2.9,8.5,0.0,34.3,76.580841,1664839,282,15546.2
DEU,51.17,10.4,22.3,28,3.8,6.4,0.1,27.8,248.76251,3720811,107,4441
DNK,56.26,8.3,19.7,18.6,4.7,6.4,0.1,27.1,65.476112,289122,44,4991.6
DZA,28.03,6.7,27.4,18.8,1.9,8.2,0.0,21.7,14.372406,132727,8,302.7
EST,58.6,4.2,21.2,30.5,1.6,8.7,0.3,34.6,14.276736,130418,95,9831.4
ESP,40.46,6.9,23.8,27.9,3.5,5.6,0.2,25.2,68.013908,3733600,172,7985.5
FIN,61.92,5.6,22.2,19.7,2.5,6.2,0.0,26.6,6.2922997,93660,17,1690.4
FRA,46.23,4.8,21.6,34.6,2.2,6.0,0.1,28.7,73.097343,5671864,168,8689.4
GBR,55.38,3.9,27.8,19.2,4.3,6.1,0.2,20.3,138.56555,4550944,188,6703.8
GEO,42.32,5.8,21.7,29.7,2.6,9.1,0.1,31.5,33.898582,352649,126,8840.1
GRC,39.07,4.7,24.9,39.1,3.1,5.6,0.0,26.0,53.04789,413954,119,3971.5
HRV,45.1,5.4,24.4,36.6,3.0,7.3,0.0,41.2,43.780178,358379,198,8729.7
HUN,47.16,6.9,26.4,30.6,3.9,8.4,0.0,36.9,59.28672,806790,310,8351.6
IRL,53.14,3.2,25.3,23.6,4.0,6.1,0.0,22.8,40.289165,266058,100,5388.2
ISR,31.05,9.7,26.1,25.5,2.5,5.4,0.2,18.7,297.70181,839653,74,9700.8
IND,20.59,10.4,3.9,27,3.5,6.3,0.1,23.5,357.89706,29359155,27,2127.5
IRQ,33.22,8.8,30.4,22.2,1.1,9.2,0.0,19.4,72.400681,1246860,41,3099.9
IRN,32.43,9.6,25.8,14,2.2,9.6,0.0,17.1,35.859539,3013078,97,3587.3
ISL,64.96,5.8,21.9,13.8,3.2,5.7,0.1,23.2,1.2272581,6555,8,1920.9
ITA,41.87,5,19.9,23.4,2.5,8.1,0.1,29.8,88.557579,4241760,210,7015.6
KAZ,48.02,6.1,21,24.4,3.5,7.7,0.1,26.6,3.8845463,456346,19,2430.4
LTU,55.17,3.8,26.3,27.1,1.9,7.8,0.1,34.9,20.798796,277379,159,10189.2
LUX,49.82,5,22.6,21.7,3.7,6.5,0.1,26.3,127.17725,70406,131,11247.4
LVA,56.88,5,23.6,36.7,1.5,7.9,0.2,36.8,18.102781,135762,130,7197.6
MNG,46.86,4.7,20.6,27.6,1.4,8.5,0.0,24.8,1.1974641,72104,10,2199.4
NLD,52.13,5.4,20.4,23.4,4.3,6.1,0.1,25.1,257.38358,1670498,103,9749.1
NOR,60.47,5.3,23.1,18.4,4.0,7.1,0.1,24.9,6.0060945,127874,15,2358.8
NPL,28.17,7.2,4.1,31.9,3.8,5.6,0.1,26.1,208.85182,604396,29,2074.3
PAK,30.38,19.9,8.6,20,2.7,7.4,0.0,25.4,196.26926,939931,10,425.5
POL,51.92,6.1,23.1,26,2.5,6.9,0.0,34.4,66.624763,2877007,197,7601.8
ROU,45.94,6.9,22.5,25.5,2.6,7.7,0.1,35.5,85.580498,1079530,165,5611.5
SRB,44.02,9,21.5,40.6,3.2,8.3,0.0,35.1,55.530155,714634,80,8179.1
RUS,61.52,6.1,23.1,28.3,2.2,8.0,0.8,32.0,3.3787088,5120578,85,3508.8
SAU,23.89,15.8,35.4,16.6,2.1,8.2,0.0,18.6,15.042521,463703,22,1331.9
SWE,60.13,4.8,20.6,28.8,3.5,7.0,0.0,25.9,9.0574884,1083456,144,10728.1
SVK,48.67,6.5,20.5,32.3,2.1,7.4,0.0,33.2,63.127808,390893,228,7159.7
TUR,38.96,11.1,32.1,29.3,3.6,6.6,0.0,19.8,69.21508,5319359,58,6307.1
USA,40,10.8,36.2,25.1,4.0,8.3,0.5,16.5,17.339632,33437746,182,10149.1
YEM,15.55,5.4,17.1,20.9,2.1,8.4,0.0,22.5,54.946499,6856,4,23
